runtime,host,policy,wall_ms,marker_span_ms,marker_wall_ratio,first_sample,last_sample,sample_count,sample_span_ms,sample_wall_ratio,sample_marker_ratio,sample_count_configured_interval_ratio,max_gap_calibrated_ms,chunks,data_loss_events,safepoint_begin,safepoint_end,target_sample_state
Temurin-17.0.20+8,macOS-15.7.7-x86_64-native,single-default-clock-normal,65081.335613,65072.059787,0.9998574733,2026-08-18T09:30:03.637285956Z,2026-08-18T09:31:08.688909762Z,1775,65051.623806,0.9995434665,0.9996859485,0.2727356443,167.491862,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-x86_64-native,single-large-clock-normal,65018.002144,65010.214265,0.9998802197,2026-08-18T09:31:11.478326565Z,2026-08-18T09:32:16.417208252Z,1831,64938.881687,0.9987830992,0.9989027481,0.2816143129,91.753917,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-x86_64-native,periodic-default-clock-normal,65016.898500,65008.502311,0.9998708614,2026-08-18T09:32:19.067388342Z,2026-08-18T09:33:24.068914408Z,1851,65001.526066,0.9997635625,0.9998926872,0.2846952166,117.728072,2,0,5,4,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-x86_64-native,single-large-fast-unordered,65029.324414,65012.917257,0.9997476960,2026-08-18T09:33:27.541401713Z,2026-08-18T09:34:32.494178533Z,1873,64952.776820,0.9988228758,0.9990749463,0.2880239057,91.729804,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-x86_64-native,periodic-default-fast-unordered,65018.022409,64999.828047,0.9997201643,2026-08-18T09:34:35.434022532Z,2026-08-18T09:35:40.365403850Z,1874,64931.381318,0.9986674296,0.9989469706,0.2882277760,91.631523,2,0,5,4,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-default-clock-normal,65065.524167,26001.816600,0.3996251000,2026-08-18T09:30:11.789164033Z,2026-08-18T09:30:37.789000833Z,2077,25999.836800,0.3995946722,0.9999238592,0.3192166707,78.272193,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-large-clock-normal,65052.611750,25919.765716,0.3984431219,2026-08-18T09:31:23.140437433Z,2026-08-18T09:31:49.052773050Z,1651,25912.335617,0.3983289052,0.9997133424,0.2537945757,132.334783,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-arm64-host-x86_64-Rosetta,periodic-default-clock-normal,65006.631750,25981.465383,0.3996740745,2026-08-18T09:32:33.559290050Z,2026-08-18T09:32:59.501698183Z,1395,25942.408133,0.3990732551,0.9984967264,0.2145934903,107.543963,2,0,5,4,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-large-fast-unordered,65022.877041,25969.252884,0.3993864016,2026-08-18T09:33:44.211050016Z,2026-08-18T09:34:10.164677633Z,1404,25953.627617,0.3991460975,0.9993983167,0.2159240046,108.124863,1,0,3,2,STATE_RUNNABLE
Temurin-17.0.20+8,macOS-15.7.7-arm64-host-x86_64-Rosetta,periodic-default-fast-unordered,65026.579292,25984.974550,0.3996054357,2026-08-18T09:34:54.462820583Z,2026-08-18T09:35:20.413106416Z,1357,25950.285833,0.3990719813,0.9986650471,0.2086838974,137.013859,2,0,5,4,STATE_RUNNABLE
Zulu17.48+15-CA-17.0.10+7-LTS,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-default-clock-normal,65052.551083,26001.774284,0.3997041446,2026-08-18T09:30:12.831281850Z,2026-08-18T09:30:38.818522883Z,1975,25987.241033,0.3994807367,0.9994410670,0.3036006993,107.764374,1,0,3,2,STATE_RUNNABLE
Zulu17.48+15-CA-17.0.10+7-LTS,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-large-clock-normal,65007.270042,25977.335433,0.3996066196,2026-08-18T09:31:24.398913416Z,2026-08-18T09:31:50.356450883Z,1909,25957.537467,0.3993020696,0.9992378754,0.2936594628,97.946908,1,0,3,2,STATE_RUNNABLE
Zulu17.48+15-CA-17.0.10+7-LTS,macOS-15.7.7-arm64-host-x86_64-Rosetta,periodic-default-clock-normal,65007.329208,25984.738234,0.3997201323,2026-08-18T09:32:33.921997650Z,2026-08-18T09:32:59.887688483Z,2034,25965.690833,0.3994271284,0.9992669774,0.3128877966,107.632972,2,0,5,4,STATE_RUNNABLE
Zulu17.48+15-CA-17.0.10+7-LTS,macOS-15.7.7-arm64-host-x86_64-Rosetta,single-large-fast-unordered,65094.017916,26026.878784,0.3998351864,2026-08-18T09:33:43.652067083Z,2026-08-18T09:34:09.649405283Z,1611,25997.338200,0.3993813722,0.9988649971,0.2474881796,98.623719,1,0,3,2,STATE_RUNNABLE
Zulu17.48+15-CA-17.0.10+7-LTS,macOS-15.7.7-arm64-host-x86_64-Rosetta,periodic-default-fast-unordered,65025.149917,25985.073766,0.3996157456,2026-08-18T09:34:53.472184016Z,2026-08-18T09:35:19.435458933Z,1362,25963.274917,0.3992805084,0.9991611011,0.2094574179,101.989725,2,0,6,5,STATE_RUNNABLE
